index,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],ch_name,Condition,Significant,P_fdr,SIG
ch_name[S10_D18 hbo]:Condition[A],3.26050420596105e-08,1.6885104666568652e-08,1.9309943706873338,0.05348374857446687,-4.891549620532665e-10,6.569923908127427e-08,S10_D18 hbo,A,False,0.1653951216420488,False
ch_name[S10_D20 hbo]:Condition[A],1.0484680488594278e-08,1.6885104666568656e-08,0.6209425819760077,0.5346374025876368,-2.2609516533069495e-08,4.357887751025805e-08,S10_D20 hbo,A,False,0.7233329564420969,False
ch_name[S10_D22 hbo]:Condition[A],3.628812310510367e-08,1.6885104666568652e-08,2.1491204124397085,0.03162485605139611,3.1939260834399036e-09,6.938232012676743e-08,S10_D22 hbo,A,True,0.1293105225212641,False
ch_name[S10_D30 hbo]:Condition[A],-8.913213034999555e-09,1.0000709569256519e-07,-0.08912580625678733,0.9289819285754782,-2.0492351879087814e-07,1.8709709272087902e-07,S10_D30 hbo,A,False,0.952797187293028,False
ch_name[S11_D19 hbo]:Condition[A],-7.478910291525303e-08,1.6885104666568652e-08,-4.429294599714878,9.454180592552266e-06,-1.0788329993691679e-07,-4.169490589358926e-08,S11_D19 hbo,A,True,0.0003865709397843593,True
ch_name[S11_D21 hbo]:Condition[A],-4.438706461893901e-08,1.6885104666568656e-08,-2.628770475247473,0.008569417809899449,-7.748126164060278e-08,-1.1292867597275239e-08,S11_D21 hbo,A,True,0.0500562818102063,False
ch_name[S11_D23 hbo]:Condition[A],-4.0378043746561304e-08,1.6885104666568652e-08,-2.3913410395676764,0.016786951502252866,-7.347224076822506e-08,-7.2838467248975376e-09,S11_D23 hbo,A,True,0.08080482433525084,False
ch_name[S12_D20 hbo]:Condition[A],-2.2695816604493928e-08,1.6885104666568652e-08,-1.3441324204184584,0.1789055699761537,-5.579001362615769e-08,1.0398380417169838e-08,S12_D20 hbo,A,False,0.3678058645319808,False
ch_name[S12_D21 hbo]:Condition[A],-4.284376420470852e-08,1.6885104666568656e-08,-2.5373703658193025,0.011168872428848182,-7.59379612263723e-08,-9.749567183044749e-09,S12_D21 hbo,A,True,0.05956731962052364,False
ch_name[S12_D22 hbo]:Condition[A],5.302831190985502e-09,1.6885104666568652e-08,0.31405379449525966,0.753480181962295,-2.7791365830678264e-08,3.839702821264927e-08,S12_D22 hbo,A,False,0.8534493448708794,False
