index,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],ch_name,Condition,Significant,P_fdr,SIG
ch_name[S10_D18 hbo]:Condition[A],-4.06929890878348e-09,8.54628068430389e-08,-0.04761485211054629,0.9620231951829705,-1.7157332233884304e-07,1.6343472452127608e-07,S10_D18 hbo,A,False,0.9961529137320693,False
ch_name[S10_D20 hbo]:Condition[A],1.6274215379511092e-09,8.54628068430389e-08,0.01904245364817041,0.9848072384271792,-1.6587660189210845e-07,1.6913144496801067e-07,S10_D20 hbo,A,False,0.9961529137320693,False
ch_name[S10_D22 hbo]:Condition[A],7.162408409309699e-08,8.54628068430389e-08,0.838073154145778,0.4019896192503155,-9.587993933696257e-08,2.391281075231565e-07,S10_D22 hbo,A,False,0.9165904054314674,False
ch_name[S10_D30 hbo]:Condition[A],1.8291999139005673e-07,3.062948759639191e-07,0.597202257512151,0.5503723521616788,-4.1740693414838786e-07,7.832469169285013e-07,S10_D30 hbo,A,False,0.9441133410853934,False
ch_name[S11_D19 hbo]:Condition[A],-1.1633853308178623e-07,8.54628068430389e-08,-1.3612767632995453,0.17342624336951917,-2.838425565118458e-07,5.116549034827333e-08,S11_D19 hbo,A,False,0.8397481257892507,False
ch_name[S11_D21 hbo]:Condition[A],-9.166442245458588e-08,8.546280684303891e-08,-1.0725650822928958,0.2834662984891373,-2.591684458846455e-07,7.58396009754737e-08,S11_D21 hbo,A,False,0.9165904054314674,False
ch_name[S11_D23 hbo]:Condition[A],-3.877815160832242e-08,8.54628068430389e-08,-0.45374301454365323,0.6500138032343854,-2.06282175038382e-07,1.2872587182173712e-07,S11_D23 hbo,A,False,0.9628539900786605,False
ch_name[S12_D20 hbo]:Condition[A],-8.123101820064941e-08,8.54628068430389e-08,-0.9504838560923748,0.34186645307880437,-2.48735041630709e-07,8.627300522941015e-08,S12_D20 hbo,A,False,0.9165904054314674,False
ch_name[S12_D21 hbo]:Condition[A],-6.101595155757269e-08,8.54628068430389e-08,-0.7139474329416148,0.47525968527201745,-2.2851997498763226e-07,1.0648807187248687e-07,S12_D21 hbo,A,False,0.9165904054314674,False
ch_name[S12_D22 hbo]:Condition[A],2.1695646400200817e-08,8.546280684303892e-08,0.253860681641864,0.7996031913907432,-1.458083770298588e-07,1.8919966983026041e-07,S12_D22 hbo,A,False,0.9961529137320693,False
