Channel,Corrected P-Value
S20_D6 hbo,0.0013309340367548383
S19_D8 hbo,3.1412157623741583e-09
S7_D19 hbo,1.3287978758578401e-06
S8_D17 hbo,4.0958856650201145e-06
S2_D2 hbo,0.0010393788094173637
S20_D5 hbo,0.00019831874276281694
S6_D18 hbo,4.9958729707650976e-11
S15_D25 hbo,0.011570896164196801
S1_D4 hbo,5.460089382623962e-06
S16_D14 hbo,1.2498946242598644e-08
S13_D25 hbo,0.019757307721535746
S24_D11 hbo,0.0004480033987187476
S19_D6 hbo,3.434496718080553e-07
S16_D26 hbo,0.004185349550348721
S23_D10 hbo,0.0010666309432385216
S4_D3 hbo,0.0036222368292327172
S2_D3 hbo,2.061325594892089e-06
S16_D27 hbo,4.0958856650201145e-06
S8_D16 hbo,3.785300380483144e-12
S20_D3 hbo,4.016492211379763e-08
S25_D11 hbo,0.0001759829378384492
S22_D7 hbo,0.0022307346160254033
S22_D9 hbo,1.3257824578209077e-05
S12_D20 hbo,1.1099203173823921e-15
S23_D8 hbo,0.00019932061446744108
S2_D1 hbo,8.166322839909335e-05
S4_D5 hbo,1.548623692582501e-14
S14_D24 hbo,0.0002598373267713777
S10_D18 hbo,4.522658658982848e-15
S3_D4 hbo,4.099847817084032e-07
S8_D20 hbo,9.311741895237805e-10
S7_D17 hbo,0.0021611981839847576
S5_D16 hbo,0.00019932061446744108
S22_D5 hbo,0.047021309726864816
S11_D19 hbo,0.0004077496928721882
S10_D20 hbo,3.505739068744873e-14
S3_D6 hbo,1.6849821619397112e-07
S1_D2 hbo,5.643613104687628e-09
S9_D20 hbo,4.660162743017803e-05
S17_D27 hbo,5.759038349297313e-08
S5_D15 hbo,1.1329003342750497e-05
S25_D14 hbo,0.00030348720867258785
S6_D16 hbo,1.8722000588509963e-11
S24_D9 hbo,3.671270771671534e-08
S4_D1 hbo,1.4683087905109759e-08
S10_D22 hbo,2.058681197394476e-20
S9_D21 hbo,0.011570896164196801
S8_D18 hbo,6.076966117278048e-13
S19_D4 hbo,3.478422124051341e-08
S18_D27 hbo,4.0958856650201145e-06
S3_D3 hbo,0.00029046174515633084
S23_D12 hbo,0.019932474392669534
S7_D15 hbo,0.00261063599314052
S12_D22 hbo,1.5898611027836222e-12
S26_D12 hbo,1.3036667262393125e-06
S14_D22 hbo,6.282335445927081e-16
S15_D11 hbo,0.011570896164196801
S3_D2 hbo,2.512450282449132e-05
S21_D8 hbo,0.0002653881088809454
S21_D6 hbo,1.6146617770365458e-09
